timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1775033048467,229.49,75.19,107249664,63602688,41535240,39.61,3091624
1775033048567,229.65,75.25,107282432,63602688,41540000,39.62,3091680
1775033048668,229.97,75.31,107282432,63602688,41542360,39.62,3091680
1775033048770,230.25,75.42,107282432,63602688,41545072,39.62,3091680
1775033048870,230.50,75.51,107282432,63602688,41547376,39.62,3091680
1775033048972,231.06,75.66,107331584,63602688,41582448,39.66,3091680
1775033049072,231.53,75.81,107331584,63602688,41584944,39.66,3091680
1775033049172,232.03,76.03,107347968,63602688,41587248,39.66,3091680
1775033049273,232.82,76.20,107347968,63602688,41589584,39.66,3091680
1775033049373,233.35,76.39,107347968,63602688,41591920,39.67,3091680
1775033049475,233.85,76.58,107364352,63602688,41594288,39.67,3091680
1775033049576,234.72,76.83,107380736,63602688,41596680,39.67,3091680
1775033049678,235.12,77.02,107380736,63602688,41598728,39.67,3091680
1775033049778,235.52,77.17,107380736,63602688,41600776,39.67,3091680
1775033049880,235.93,77.36,107380736,63602688,41602824,39.68,3091680
1775033049981,236.69,77.58,107397120,63602688,41604904,39.68,3091680
1775033050081,237.03,77.73,107397120,63602688,41606952,39.68,3091680
1775033050182,237.12,77.77,107397120,63602688,41609000,39.68,3091680
1775033050283,242.32,79.11,108068864,63864832,42513328,40.54,3093032
1775033050384,242.45,79.17,108068864,63864832,42515400,40.55,3093032
1775033050485,248.63,82.29,108609536,63864832,42830576,40.85,3094383
1775033050586,248.85,82.36,108609536,63864832,42832648,40.85,3094383
1775033050686,249.25,82.54,108609536,63864832,42834696,40.85,3094383
1775033050788,271.63,90.86,113524736,68730880,40987344,39.09,3100537
1775033050888,271.82,90.95,113524736,68730880,40989416,39.09,3100537
1775033050989,278.63,95.24,113590272,68993024,41512584,39.59,3101888
1775033051091,278.88,95.31,113590272,68993024,41514656,39.59,3101888
1775033051191,279.22,95.46,113590272,68993024,41516704,39.59,3101888
1775033051293,287.49,100.34,113672192,68993024,41825896,39.89,3103239
1775033051393,287.66,100.42,113672192,68993024,41827968,39.89,3103239
1775033051493,294.30,104.63,113721344,68993024,42141784,40.19,3104590
1775033051595,294.64,104.77,113721344,68993024,42143856,40.19,3104590
1775033051694,294.96,104.91,113721344,68993024,42145904,40.19,3104590
1775033051796,300.99,110.03,113737728,68993024,42455232,40.49,3114133
1775033051897,301.21,110.15,113737728,68993024,42457304,40.49,3114133
1775033051998,304.63,112.86,113754112,68993024,42765800,40.78,3115484
1775033052100,304.88,112.95,113754112,68993024,42767840,40.79,3115484
1775033052199,305.23,113.11,113754112,68993024,42769936,40.79,3115484
1775033052300,311.46,117.22,113786880,68993024,43090176,41.09,3116835
1775033052401,311.67,117.33,113786880,68993024,43092264,41.10,3116835
1775033052502,313.90,119.16,113786880,68993024,43401264,41.39,3118186
1775033052603,314.07,119.25,113786880,68993024,43403352,41.39,3118186
1775033052705,314.27,119.31,113786880,68993024,43405416,41.39,3118186
1775033052805,317.51,121.94,113803264,68993024,43865744,41.83,3127731
1775033052906,317.74,122.04,113803264,68993024,43867832,41.84,3127731
1775033053008,320.69,124.39,113803264,68993024,44176728,42.13,3129084
1775033053108,320.84,124.46,113803264,68993024,44178816,42.13,3129084
1775033053209,321.02,124.54,113803264,68993024,44180880,42.13,3129084
1775033053310,331.57,130.78,113885184,68993024,44490224,42.43,3130437
1775033053412,331.75,130.85,113885184,68993024,44492312,42.43,3130437
1775033053514,338.30,135.76,113901568,68993024,44801136,42.73,3131790
1775033053615,338.50,135.86,113901568,68993024,44803224,42.73,3131790
1775033053716,338.65,135.94,113901568,68993024,44805288,42.73,3131790
1775033053816,341.83,138.15,113901568,68993024,45114376,43.02,3141335
